Ticker,Equity Bond,Price Rating,Justification
ACLX,-1.9996986919221744,4.4,Cheap: Equity Bond value of -1.9996986919221744% is lower than the treasury rate of 4.0%. 
ACMR,10.127654317579312,4.41,Expensive: Equity Bond value of 10.127654317579312% is higher than the treasury rate of 4.0%.
ACNB,11.460374278412932,4.41,Expensive: Equity Bond value of 11.460374278412932% is higher than the treasury rate of 4.0%.
ACON,-72.70004441455349,4.37,Cheap: Equity Bond value of -72.70004441455349% is lower than the treasury rate of 4.0%. 
ACRS,-34.59198833851933,4.39,Cheap: Equity Bond value of -34.59198833851933% is lower than the treasury rate of 4.0%. 
ACRV,-34.81997445285898,4.39,Cheap: Equity Bond value of -34.81997445285898% is lower than the treasury rate of 4.0%. 
ACT,16.599029074379075,4.41,Expensive: Equity Bond value of 16.599029074379075% is higher than the treasury rate of 4.0%.
ACTG,16.33218904176727,4.41,Expensive: Equity Bond value of 16.33218904176727% is higher than the treasury rate of 4.0%.
ACTU,-13.535276080331274,4.4,Cheap: Equity Bond value of -13.535276080331274% is lower than the treasury rate of 4.0%. 
ACVA,-2.307827496208104,4.4,Cheap: Equity Bond value of -2.307827496208104% is lower than the treasury rate of 4.0%. 
ACXP,-102.42698936591736,4.35,Cheap: Equity Bond value of -102.42698936591736% is lower than the treasury rate of 4.0%. 
ADBE,3.5611293331569267,4.41,Cheap: Equity Bond value of 3.5611293331569267% is lower than the treasury rate of 4.0%. 
ADD,-4331.506455203358,2.06,Cheap: Equity Bond value of -4331.506455203358% is lower than the treasury rate of 4.0%. 
ADEA,5.786128621914774,4.41,Expensive: Equity Bond value of 5.786128621914774% is higher than the treasury rate of 4.0%.
ADGM,-202.4114910042403,4.3,Cheap: Equity Bond value of -202.4114910042403% is lower than the treasury rate of 4.0%. 
ADI,3.543197849115455,4.41,Cheap: Equity Bond value of 3.543197849115455% is lower than the treasury rate of 4.0%. 
ADMA,-0.7253149240653913,4.41,Cheap: Equity Bond value of -0.7253149240653913% is lower than the treasury rate of 4.0%. 
ADN,-505.80015619562255,4.13,Cheap: Equity Bond value of -505.80015619562255% is lower than the treasury rate of 4.0%. 
ADP,3.5489557425344453,4.41,Cheap: Equity Bond value of 3.5489557425344453% is lower than the treasury rate of 4.0%. 
ADPT,-19.82684403208601,4.39,Cheap: Equity Bond value of -19.82684403208601% is lower than the treasury rate of 4.0%. 
ADSK,1.4334350068748958,4.41,Cheap: Equity Bond value of 1.4334350068748958% is lower than the treasury rate of 4.0%. 
ADTN,-28.470896142234253,4.39,Cheap: Equity Bond value of -28.470896142234253% is lower than the treasury rate of 4.0%. 
ADTX,-373.23934174053545,4.2,Cheap: Equity Bond value of -373.23934174053545% is lower than the treasury rate of 4.0%. 
ADUS,3.585376462229424,4.41,Cheap: Equity Bond value of 3.585376462229424% is lower than the treasury rate of 4.0%. 
ADV,-10.629296853806496,4.4,Cheap: Equity Bond value of -10.629296853806496% is lower than the treasury rate of 4.0%. 
ADVM,-133.42902425166713,4.33,Cheap: Equity Bond value of -133.42902425166713% is lower than the treasury rate of 4.0%. 
AEHR,4.567868370740009,4.41,Expensive: Equity Bond value of 4.567868370740009% is higher than the treasury rate of 4.0%.
AEI,-645.7802568790254,4.06,Cheap: Equity Bond value of -645.7802568790254% is lower than the treasury rate of 4.0%. 
AEIS,2.918234847341982,4.41,Cheap: Equity Bond value of 2.918234847341982% is lower than the treasury rate of 4.0%. 
AEMD,-128.9640894766411,4.34,Cheap: Equity Bond value of -128.9640894766411% is lower than the treasury rate of 4.0%. 
AENT,-14.33292829642345,4.4,Cheap: Equity Bond value of -14.33292829642345% is lower than the treasury rate of 4.0%. 
AEP,4.174000853362335,4.41,Expensive: Equity Bond value of 4.174000853362335% is higher than the treasury rate of 4.0%.
AERT,10.535041467538134,4.41,Expensive: Equity Bond value of 10.535041467538134% is higher than the treasury rate of 4.0%.
AEYE,-2.566136363428783,4.4,Cheap: Equity Bond value of -2.566136363428783% is lower than the treasury rate of 4.0%. 
AFBI,7.170750723230222,4.41,Expensive: Equity Bond value of 7.170750723230222% is higher than the treasury rate of 4.0%.
AFCG,12.576343167113324,4.41,Expensive: Equity Bond value of 12.576343167113324% is higher than the treasury rate of 4.0%.
AFRM,-6.155346501322813,4.4,Cheap: Equity Bond value of -6.155346501322813% is lower than the treasury rate of 4.0%. 
AGAE,-7.410579059538384,4.4,Cheap: Equity Bond value of -7.410579059538384% is lower than the treasury rate of 4.0%. 
AGEN,-310.6225023986831,4.24,Cheap: Equity Bond value of -310.6225023986831% is lower than the treasury rate of 4.0%. 
AGFY,-38.42859760285755,4.38,Cheap: Equity Bond value of -38.42859760285755% is lower than the treasury rate of 4.0%. 
AGIO,-18.36594220487097,4.4,Cheap: Equity Bond value of -18.36594220487097% is lower than the treasury rate of 4.0%. 
AGNC,1.7358914026338514,4.41,Cheap: Equity Bond value of 1.7358914026338514% is lower than the treasury rate of 4.0%. 
AGNCM,1.2918430549173852,4.41,Cheap: Equity Bond value of 1.2918430549173852% is lower than the treasury rate of 4.0%. 
