ACLX: Equity Bond = -1.9996986919221742%
ACMR: Equity Bond = 10.127654317579312%
ACNB: Equity Bond = 11.460374278412932%
ACON: Equity Bond = -72.70004441455349%
ACRS: Equity Bond = -34.59198833851933%
ACRV: Equity Bond = -34.81997445285898%
ACT: Equity Bond = 16.599029074379075%
ACTG: Equity Bond = 16.33218904176727%
ACTU: Equity Bond = -13.535276080331274%
ACVA: Equity Bond = -2.3078274962081036%
ACXP: Equity Bond = -102.42698936591736%
ADBE: Equity Bond = 3.5611293331569267%
ADD: Equity Bond = -4331.506455203358%
ADEA: Equity Bond = 5.786128621914774%
ADGM: Equity Bond = -202.4114910042403%
ADI: Equity Bond = 3.543197849115455%
ADMA: Equity Bond = -0.7253149240653913%
ADN: Equity Bond = -505.80015619562255%
ADP: Equity Bond = 3.5489557425344453%
ADPT: Equity Bond = -19.82684403208601%
ADSK: Equity Bond = 1.4334350068748958%
ADTN: Equity Bond = -28.470896142234253%
ADTX: Equity Bond = -373.23934174053545%
ADUS: Equity Bond = 3.585376462229424%
ADV: Equity Bond = -10.629296853806496%
ADVM: Equity Bond = -133.42902425166713%
AEHR: Equity Bond = 4.567868370740009%
AEI: Equity Bond = -645.7802568790254%
AEIS: Equity Bond = 2.918234847341982%
AEMD: Equity Bond = -128.9640894766411%
AENT: Equity Bond = -14.33292829642345%
AEP: Equity Bond = 4.174000853362335%
AERT: Equity Bond = 10.535041467538134%
AEYE: Equity Bond = -2.566136363428783%
AFBI: Equity Bond = 7.170750723230222%
AFCG: Equity Bond = 12.576343167113324%
Error for AFJK: 'Pretax Income'
Error for AFJKR: 'Pretax Income'
AFRM: Equity Bond = -6.155346501322813%
AGAE: Equity Bond = -7.410579059538384%
AGEN: Equity Bond = -310.6225023986831%
AGFY: Equity Bond = -38.42859760285755%
AGIO: Equity Bond = -18.365942204870972%
AGNC: Equity Bond = 1.7358914026338514%
AGNCM: Equity Bond = 1.2918430549173852%
AGNCN: Equity Bond = 1.2631689684180507%
AGYS: Equity Bond = 0.6618818703938559%
AHCO: Equity Bond = -52.53021221625582%
Error for AIEV: can only convert an array of size 1 to a Python scalar
Error for AIFF: can only convert an array of size 1 to a Python scalar
AIMD: Equity Bond = -153.94137633365887%
AIOT: Equity Bond = -0.642177713496437%
AIP: Equity Bond = -7.6312950329512335%
AIRE: Equity Bond = -8.769671869714863%
AIRG: Equity Bond = -16.37788941254934%
AIRS: Equity Bond = 1.0527390817157143%
AIRT: Equity Bond = -20.084625391750148%
AIRTP: Equity Bond = -21.884492564908946%
AITR: Equity Bond = -0.04226808002287035%
Error for AITRR: 'Pretax Income'
AKAM: Equity Bond = 4.432251473390327%
AKBA: Equity Bond = -11.225966251130568%
AKRO: Equity Bond = -3.697122885547113%
AKYA: Equity Bond = -46.5901300543643%
ALAB: Equity Bond = -0.1474531234593706%
ALBT: Equity Bond = -457.1383087857296%
ALCE: Equity Bond = -1888.984558183575%
ALCO: Equity Bond = 1.065940059500245%
ALCY: Equity Bond = 6.51624584793114%
Error for ALDF: 'Pretax Income'
Error for ALDFU: 'Pretax Income'
Error for ALDFW: 'Pretax Income'
ALDX: Equity Bond = -12.194216837890956%
ALEC: Equity Bond = -77.93998988751996%
Error for ALF: 'Pretax Income'
Error for ALFUU: 'Pretax Income'
Error for ALFUW: 'Pretax Income'
ALGM: Equity Bond = 4.999302406918462%
ALGN: Equity Bond = 3.9797580032367095%
ALGS: Equity Bond = -111.12334105081467%
ALGT: Equity Bond = 8.864647503571362%
ALHC: Equity Bond = -5.029752703763175%
ALKT: Equity Bond = -1.7853335134427557%
ALLK: Equity Bond = -849.4089352285364%
ALLO: Equity Bond = -93.46363170488357%
ALLR: Equity Bond = -237.99642534121813%
ALMS: Equity Bond = -44.11548856711705%
ALNT: Equity Bond = 7.219871396441854%
ALNY: Equity Bond = -1.2242185189490673%
ALOT: Equity Bond = 4.054834547839121%
ALRM: Equity Bond = 3.229597476096957%
ALRS: Equity Bond = 2.934018075239135%
ALT: Equity Bond = -19.309783409931477%
ALTI: Equity Bond = -89.32620004593704%
ALTO: Equity Bond = -23.19204383005228%
ALTR: Equity Bond = 0.19041328861008697%
ALTS: Equity Bond = -20.587291130600484%
ALVR: Equity Bond = -385.73009193519965%
ALXO: Equity Bond = -230.97233514330728%
ALZN: Equity Bond = -240.22647040587776%
AMAL: Equity Bond = 12.042368863425624%
AMAT: Equity Bond = 5.309992585330495%
AMBA: Equity Bond = -2.258756464041796%
AMCX: Equity Bond = 95.9768425542837%
AMD: Equity Bond = 0.26531707725200926%
AMED: Equity Bond = 1.3127470185534142%
AMGN: Equity Bond = 5.058696483596559%
AMIX: Equity Bond = -41.69586948983322%
AMKR: Equity Bond = 7.506217150039911%
AMLX: Equity Bond = 18.527465697415305%
AMPH: Equity Bond = 10.673660755742471%
AMPL: Equity Bond = -7.688911570816516%
AMRK: Equity Bond = 31.38729760561497%
AMRX: Equity Bond = -1.5888585498139627%
AMSC: Equity Bond = -3.3537869977424215%
AMSF: Equity Bond = 8.123569553805774%
AMST: Equity Bond = -30.140780850527037%
AMTX: Equity Bond = -93.6655488261927%
AMWD: Equity Bond = 10.772866504786242%
AMZN: Equity Bond = 1.5044033895778635%
ANAB: Equity Bond = -32.276464401730486%
ANDE: Equity Bond = 12.423615823696215%
ANEB: Equity Bond = -17.84779066173052%
ANGI: Equity Bond = -20.02133286076174%
ANGO: Equity Bond = -12.18535125095926%
ANIK: Equity Bond = -33.715963105592074%
ANIP: Equity Bond = 1.632678818477992%
ANIX: Equity Bond = -11.014813759798527%
ANNX: Equity Bond = -35.7764145858457%
ANSC: Equity Bond = 0.3596710200033063%
ANSS: Equity Bond = 1.952581078273296%
ANTX: Equity Bond = -198.75951244290368%
AOUT: Equity Bond = -5.820459855880994%
APA: Equity Bond = 36.29719617670099%
APDN: Equity Bond = -106.70528856304011%
APEI: Equity Bond = -13.703021755090298%
APGE: Equity Bond = -4.791706044480174%
APLD: Equity Bond = -2.8155988015059483%
APLM: Equity Bond = -1792.9461900622932%
APLS: Equity Bond = -14.85616399638893%
APLT: Equity Bond = -182.9832582763244%
APOG: Equity Bond = 10.736068644379746%
APP: Equity Bond = 0.3486821974095047%
APPF: Equity Bond = 0.1452796516572912%
APPN: Equity Bond = -7.3080896432806535%
APPS: Equity Bond = 8.356358613494272%
APRE: Equity Bond = -68.70638588456359%
APVO: Equity Bond = -293.9686460765668%
APYX: Equity Bond = -39.8134198201089%
AQMS: Equity Bond = -190.71139732993208%
