Ticker,Company,Industry,MarketCap
MMM,3M,Industrials,72181293056
AOS,A. O. Smith,Industrials,10672358400
ABT,Abbott Laboratories,Health Care,200226062336
ABBV,AbbVie,Health Care,298964713472
ACN,Accenture,Information Technology,230343802880
ADBE,Adobe Inc.,Information Technology,232267153408
AMD,Advanced Micro Devices,Information Technology,227193405440
AES,AES Corporation,Utilities,9755290624
AFL,Aflac,Financials,61127524352
A,Agilent Technologies,Health Care,38085328896
APD,Air Products,Materials,69988253696
ABNB,Airbnb,Consumer Discretionary,84419182592
AKAM,Akamai Technologies,Information Technology,13331144704
ALB,Albemarle Corporation,Materials,12403995648
ARE,Alexandria Real Estate Equities,Real Estate,18893520896
ALGN,Align Technology,Health Care,16052843520
ALLE,Allegion,Industrials,12288760832
LNT,Alliant Energy,Utilities,15311262720
ALL,Allstate,Financials,51790172160
GOOGL,Alphabet Inc. (Class A),Communication Services,2167236722688
GOOG,Alphabet Inc. (Class C),Communication Services,2168740773888
MO,Altria,Consumer Staples,93665034240
AMZN,Amazon,Consumer Discretionary,2229547040768
AMCR,Amcor,Materials,14525667328
AMTM,Amentum,Industrials,6994932736
AEE,Ameren,Utilities,24164990976
AEP,American Electric Power,Utilities,50026491904
AXP,American Express,Financials,204243255296
AIG,American International Group,Financials,47291052032
AMT,American Tower,Real Estate,91649392640
AWK,American Water Works,Utilities,25880948736
AMP,Ameriprise Financial,Financials,54533361664
AME,Ametek,Industrials,44980154368
AMGN,Amgen,Health Care,158002446336
APH,Amphenol,Information Technology,88118026240
ADI,Analog Devices,Information Technology,105877127168
ANSS,Ansys,Information Technology,29734748160
AON,Aon,Financials,82466553856
APA,APA Corporation,Energy,8292362752
AAPL,Apple Inc.,Information Technology,3419344994304
AMAT,Applied Materials,Information Technology,153784303616
APTV,Aptiv,Consumer Discretionary,13071527936
ACGL,Arch Capital Group,Financials,38049349632
ADM,Archer Daniels Midland,Consumer Staples,24942278656
ANET,Arista Networks,Information Technology,122177822720
AJG,Arthur J. Gallagher & Co.,Financials,65205088256
AIZ,Assurant,Financials,10912389120
T,AT&T,Communication Services,160218480640
ATO,Atmos Energy,Utilities,22667896832
ADSK,Autodesk,Information Technology,66623524864
ADP,Automatic Data Processing,Industrials,123936202752
AZO,AutoZone,Consumer Discretionary,53820248064
AVB,AvalonBay Communities,Real Estate,32848211968
AVY,Avery Dennison,Materials,16158929920
AXON,Axon Enterprise,Industrials,45631631360
BKR,Baker Hughes,Energy,42806894592
BALL,Ball Corporation,Materials,18608351232
BAC,Bank of America,Financials,353098268672
BAX,Baxter International,Health Care,16486887424
BDX,Becton Dickinson,Health Care,65303252992
BBY,Best Buy,Consumer Discretionary,19653777408
TECH,Bio-Techne,Health Care,11777075200
BIIB,Biogen,Health Care,23969320960
BLK,BlackRock,Financials,155854356480
BX,Blackstone Inc.,Financials,222545281024
BK,BNY Mellon,Financials,56799338496
BA,Boeing,Industrials,105165406208
BKNG,Booking Holdings,Consumer Discretionary,164702093312
BWA,BorgWarner,Consumer Discretionary,7598731264
BSX,Boston Scientific,Health Care,130257092608
BMY,Bristol Myers Squibb,Health Care,118962896896
AVGO,Broadcom,Information Technology,807449919488
BR,Broadridge Financial Solutions,Industrials,26505164800
BRO,Brown & Brown,Financials,31784232960
BLDR,Builders FirstSource,Industrials,20996108288
BG,Bunge Global,Consumer Staples,12107058176
BXP,"BXP, Inc.",Real Estate,14058771456
CHRW,C.H. Robinson,Industrials,13120754688
CDNS,Cadence Design Systems,Information Technology,83104440320
CZR,Caesars Entertainment,Consumer Discretionary,8426956800
CPT,Camden Property Trust,Real Estate,13057754112
CPB,Campbell Soup Company,Consumer Staples,13316827136
COF,Capital One,Financials,70342819840
CAH,Cardinal Health,Health Care,29968340992
KMX,CarMax,Consumer Discretionary,12296317952
CCL,Carnival,Consumer Discretionary,33204078592
CARR,Carrier Global,Industrials,68121964544
CTLT,Catalent,Health Care,10761846784
CAT,Caterpillar Inc.,Industrials,187732721664
CBOE,Cboe Global Markets,Financials,20954996736
CBRE,CBRE Group,Real Estate,41232863232
CDW,CDW,Information Technology,24515246080
CE,Celanese,Materials,8102752256
COR,Cencora,Health Care,48609984512
CNC,Centene Corporation,Health Care,29804703744
CNP,CenterPoint Energy,Utilities,19838570496
CF,CF Industries,Materials,14955279360
CRL,Charles River Laboratories,Health Care,10320308224
SCHW,Charles Schwab Corporation,Financials,147964166144
CHTR,Charter Communications,Communication Services,56817967104
CVX,Chevron Corporation,Energy,286069489664
CMG,Chipotle Mexican Grill,Consumer Discretionary,81939341312
CB,Chubb Limited,Financials,114141224960
CHD,Church & Dwight,Consumer Staples,26238060544
CI,Cigna,Health Care,90620854272
CINF,Cincinnati Financial,Financials,23403483136
CTAS,Cintas,Industrials,88979865600
CSCO,Cisco,Information Technology,230690914304
C,Citigroup,Financials,130402369536
CFG,Citizens Financial Group,Financials,20596160512
CLX,Clorox,Consumer Staples,20461234176
CME,CME Group,Financials,81582350336
CMS,CMS Energy,Utilities,20202346496
KO,Coca-Cola Company (The),Consumer Staples,269689815040
CTSH,Cognizant,Information Technology,40246034432
CL,Colgate-Palmolive,Consumer Staples,74544078848
CMCSA,Comcast,Communication Services,166282297344
CAG,Conagra Brands,Consumer Staples,13210916864
COP,ConocoPhillips,Energy,129483120640
ED,Consolidated Edison,Utilities,33122183168
STZ,Constellation Brands,Consumer Staples,44169224192
CEG,Constellation Energy,Utilities,71911391232
COO,Cooper Companies (The),Health Care,20139651072
CPRT,Copart,Industrials,55779414016
GLW,Corning Inc.,Information Technology,40609992704
CPAY,Corpay,Financials,25945389056
CTVA,Corteva,Materials,39388762112
CSGP,CoStar Group,Real Estate,30999123968
COST,Costco,Consumer Staples,409333891072
CTRA,Coterra,Energy,18923073536
CRWD,CrowdStrike,Information Technology,84948410368
CCI,Crown Castle,Real Estate,44800536576
CSX,CSX Corporation,Industrials,69027790848
CMI,Cummins,Industrials,50122186752
CVS,CVS Health,Health Care,68344246272
DHR,Danaher Corporation,Health Care,172425101312
DRI,Darden Restaurants,Consumer Discretionary,19891574784
DVA,DaVita,Health Care,12820350976
