Ticker,Company,Industry
A,Agilent Technologies Inc. Common Stock,Biotechnology: Laboratory Analytical Instruments
AA,Alcoa Corporation Common Stock ,Aluminum
AACG,ATA Creativity Global American Depositary Shares,Other Consumer Services
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,Blank Checks
AADI,Aadi Bioscience Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
AAL,American Airlines Group Inc. Common Stock,Air Freight/Delivery Services
AAM,AA Mission Acquisition Corp. Class A Ordinary Shares,
AAME,Atlantic American Corporation Common Stock,Life Insurance
AAMI,Acadian Asset Management Inc. Common Stock,Investment Managers
AAOI,Applied Optoelectronics Inc. Common Stock,Semiconductors
AAON,AAON Inc. Common Stock,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,Investment Managers
ABAT,American Battery Technology Company Common Stock,Metal Mining
ABBV,AbbVie Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,Pharmaceuticals and Biotechnology
ABEO,Abeona Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,Retail-Auto Dealers and Gas Stations
ABL,Abacus Life Inc. Class A Common Stock,Investment Managers
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,Investment Managers
ABLLW,Abacus Life Inc. Warrant,Investment Managers
ABLV,Able View Global Inc. Class B Ordinary Shares,Other Consumer Services
ABLVW,Able View Global Inc. Warrant,Other Consumer Services
ABM,ABM Industries Incorporated Common Stock,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,Diversified Commercial Services
ABOS,Acumen Pharmaceuticals Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
ABP,Abpro Holdings Inc Common Stock,Biotechnology: Pharmaceutical Preparations
ABPWW,Abpro Holdings Inc. Warrant,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,
ABSI,Absci Corporation Common Stock,Biotechnology: Commercial Physical & Biological Resarch
ABT,Abbott Laboratories Common Stock,Biotechnology: Pharmaceutical Preparations
ABTS,Abits Group Inc Ordinary Shares,Computer Software: Programming Data Processing
ABUS,Arbutus Biopharma Corporation Common Stock,Biotechnology: Pharmaceutical Preparations
ABVC,ABVC BioPharma Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
ABVE,Above Food Ingredients Inc. Common Stock,Packaged Foods
ABVEW,Above Food Ingredients Inc. Warrants,Packaged Foods
ABVX,Abivax SA American Depositary Shares,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,Metal Fabrications
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
ACB,Aurora Cannabis Inc. Common Shares, Medicinal Chemicals and Botanical Products 
ACCD,Accolade Inc. Common Stock,Business Services
ACCO,Acco Brands Corporation Common Stock,Publishing
ACDC,ProFrac Holding Corp. Class A Common Stock,Oilfield Services/Equipment
ACEL,Accel Entertainment Inc. ,Services-Misc. Amusement & Recreation
ACET,Adicet Bio Inc. Common Stock ,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Property-Casualty Insurers
ACHC,Acadia Healthcare Company Inc. Common Stock,Medical Specialities
ACHL,Achilles Therapeutics plc American Depositary Shares,Biotechnology: Biological Products (No Diagnostic Substances)
ACHR,Archer Aviation Inc. Class A Common Stock,Aerospace
ACHV,Achieve Life Sciences Inc. Common Shares,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,Food Chains
ACIC,American Coastal Insurance Corporation Common Stock,Property-Casualty Insurers
ACIU,AC Immune SA Common Stock,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,Computer Software: Prepackaged Software
ACLS,Axcelis Technologies Inc. Common Stock,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
ACM,AECOM Common Stock,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),Business Services
ACNB,ACNB Corporation Common Stock,Major Banks
ACNT,Ascent Industries Co. Common Stock,Steel/Iron Ore
ACOG,Alpha Cognition Inc. Common Stock,
ACON,Aclarion Inc. Common Stock,Medical Specialities
ACONW,Aclarion Inc. Warrant,Medical Specialities
ACP,abrdn Income Credit Strategies Fund Common Shares,Investment Managers
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,
ACR,ACRES Commercial Realty Corp. Common Stock,Real Estate Investment Trusts
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,
ACRE,Ares Commercial Real Estate Corporation Common Stock,Real Estate Investment Trusts
ACRS,Aclaris Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
ACRV,Acrivon Therapeutics Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
ACT,Enact Holdings Inc. Common Stock,Specialty Insurers
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,Multi-Sector Companies
ACTU,Actuate Therapeutics Inc. Common stock,Biotechnology: Pharmaceutical Preparations
ACU,Acme United Corporation. Common Stock,Industrial Machinery/Components
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,Finance/Investors Services
ACVA,ACV Auctions Inc. Class A Common Stock,Business Services
ACXP,Acurx Pharmaceuticals Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
ADAG,Adagene Inc. American Depositary Shares,Biotechnology: Pharmaceutical Preparations
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Inc. Common Stock,Computer Software: Prepackaged Software
ADC,Agree Realty Corporation Common Stock,Real Estate Investment Trusts
ADC^A,Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,
ADCT,ADC Therapeutics SA Common Shares,Biotechnology: Pharmaceutical Preparations
ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,Engineering & Construction
ADEA,Adeia Inc. Common Stock,Computer Software: Prepackaged Software
ADGM,Adagio Medical Holdings Inc Common Stock,Medical/Dental Instruments
ADI,Analog Devices Inc. Common Stock,Semiconductors
ADIL,Adial Pharmaceuticals Inc Common Stock,Biotechnology: Pharmaceutical Preparations
ADM,Archer-Daniels-Midland Company Common Stock,Packaged Foods
ADMA,ADMA Biologics Inc Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
ADN,Advent Technologies Holdings Inc. Class A Common Stock,Industrial Machinery/Components
ADNT,Adient plc Ordinary Shares ,Auto Parts:O.E.M.
ADNWW,Advent Technologies Holdings Inc. Warrant,Industrial Machinery/Components
ADP,Automatic Data Processing Inc. Common Stock,EDP Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
ADSE,ADS-TEC ENERGY PLC Ordinary Shares,Industrial Specialties
ADSEW,ADS-TEC ENERGY PLC Warrant,Industrial Specialties
ADSK,Autodesk Inc. Common Stock,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,Diversified Commercial Services
ADTN,ADTRAN Holdings Inc. Common Stock,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,Biotechnology: Pharmaceutical Preparations
ADUR,Aduro Clean Technologies Inc. Common Stock,
ADUS,Addus HomeCare Corporation Common Stock,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,Business Services
ADVM,Adverum Biotechnologies Inc. Common Stock,Biotechnology: Biological Products (No Diagnostic Substances)
ADVWW,Advantage Solutions Inc. Warrant,Business Services
ADX,Adams Diversified Equity Fund Inc.,Investment Managers
ADXN,Addex Therapeutics Ltd American Depositary Shares,Biotechnology: Pharmaceutical Preparations
AE,Adams Resources & Energy Inc. Common Stock,Oil Refining/Marketing
AEE,Ameren Corporation Common Stock,Power Generation
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,Finance/Investors Services
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,
AEG,Aegon Ltd. New York Registry Shares,Life Insurance
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,Building Materials
AEHR,Aehr Test Systems Common Stock,Electrical Products
AEI,Alset Inc. Common Stock (TX),Real Estate
AEIS,Advanced Energy Industries Inc. Common Stock,Industrial Machinery/Components
AEM,Agnico Eagle Mines Limited Common Stock,Precious Metals
AEMD,Aethlon Medical Inc. Common Stock,Medical/Dental Instruments
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,Durable Goods
AENTW,Alliance Entertainment Holding Corporation Warrants,Durable Goods
AEO,American Eagle Outfitters Inc. Common Stock,Clothing/Shoe/Accessory Stores
AEON,AEON Biopharma Inc. Class A Common Stock,Biotechnology: Pharmaceutical Preparations
AEP,American Electric Power Company Inc. Common Stock,Electric Utilities: Central
AER,AerCap Holdings N.V. Ordinary Shares,Diversified Commercial Services
AERT,Aeries Technology Inc. Class A Ordinary Share,Professional Services
AERTW,Aeries Technology Inc. Warrant,Professional Services
