Ticker,Company,Industry,MarketCap
ARCO,Arcos Dorados Holdings Inc. Class A Shares,Consumer Discretionary,1544100923
BBAR,Banco BBVA Argentina S.A. ADS,Finance,4603495060
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,Industrials,451252108
BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),Finance,6672918347
CRESW,Cresud S.A.C.I.F. y A. Warrant,Finance,706681054
CRESY,Cresud S.A.C.I.F. y A. American Depositary Shares,Finance,792556220
DESP,Despegar.com Corp. Ordinary Shares,Consumer Discretionary,1383440813
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor) American Depositary Shares,Utilities,1640683731
GGAL,Grupo Financiero Galicia S.A. American Depositary Shares,Finance,10061824130
IRS,IRSA Inversiones Y Representaciones S.A. Global Depositary Shares (Each representing ten shares of Common Stock),Real Estate,1218720652
LOMA,Loma Negra Compania Industrial Argentina Sociedad Anonima ADS,Industrials,1352513942
MELI,MercadoLibre Inc. Common Stock,Consumer Discretionary,93458075944
PAM,Pampa Energia S.A.,Utilities,4657587751
TEO,Telecom Argentina SA,Telecommunications,5310994633
TGS,Transportadora de Gas del Sur SA TGS Common Stock,Utilities,4293749086
YPF,YPF Sociedad Anonima Common Stock,Energy,16110092001
ATHE,Alterity Therapeutics Limited American Depositary Shares,Health Care,25703723
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),Energy,1.26E+11
COOT,Australian Oilseeds Holdings Limited Ordinary Shares,Consumer Staples,30191333
COOTW,Australian Oilseeds Holdings Limited Warrant,Consumer Staples,712980
FTEL,Fitell Corporation Ordinary Shares,Consumer Discretionary,209886916
GELS,Gelteq Limited Ordinary Shares,Health Care,26615372
GVH,Globavend Holdings Limited Ordinary Shares,Consumer Discretionary,10897088
IBG,Innovation Beverage Group Limited Ordinary Shares,Consumer Staples,6929416
IMMP,Immutep Limited American Depositary Shares,Health Care,285822583
IMRN,Immuron Limited American Depositary Shares,Health Care,11389918
