Ticker,Company,Industry,MarketCap,TotalMarketCap
MMM,3M,Industrials,70678306816,4411342612480
AOS,A. O. Smith,Industrials,10472989696,4411342612480
ABT,Abbott Laboratories,Health Care,201023913984,5387425674752
ABBV,AbbVie,Health Care,291560423424,5387425674752
ACN,Accenture,Information Technology,220930342912,16000444845056
ADBE,Adobe Inc.,Information Technology,221583474688,16000444845056
AMD,Advanced Micro Devices,Information Technology,218917060608,16000444845056
AES,AES Corporation,Utilities,9933047808,1220185587712
AFL,Aflac,Financials,61841375232,6525760947712
A,Agilent Technologies,Health Care,36510769152,5387425674752
APD,Air Products,Materials,70495772672,1044963960832
ABNB,Airbnb,Consumer Discretionary,82782281728,5765699304960
AKAM,Akamai Technologies,Information Technology,13134347264,16000444845056
ALB,Albemarle Corporation,Materials,12168915968,1044963960832
ARE,Alexandria Real Estate Equities,Real Estate,18451372032,1144868519936
ALGN,Align Technology,Health Care,16699153408,5387425674752
ALLE,Allegion,Industrials,12149237760,4411342612480
LNT,Alliant Energy,Utilities,15647407104,1220185587712
ALL,Allstate,Financials,52134416384,6525760947712
GOOGL,Alphabet Inc. (Class A),Communication Services,2119194902528,7273105960448
GOOG,Alphabet Inc. (Class C),Communication Services,2119197392896,7273105960448
MO,Altria,Consumer Staples,94790721536,3196058264064
AMZN,Amazon,Consumer Discretionary,2130444156928,5765699304960
AMCR,Amcor,Materials,14771375104,1044963960832
AMTM,Amentum,Industrials,6131210752,4411342612480
AEE,Ameren,Utilities,24349171712,1220185587712
AEP,American Electric Power,Utilities,51291332608,1220185587712
AXP,American Express,Financials,202084139008,6525760947712
AIG,American International Group,Financials,47262978048,6525760947712
AMT,American Tower,Real Estate,91798921216,1144868519936
AWK,American Water Works,Utilities,26160621568,1220185587712
AMP,Ameriprise Financial,Financials,54564892672,6525760947712
AME,Ametek,Industrials,44665577472,4411342612480
AMGN,Amgen,Health Care,152449728512,5387425674752
APH,Amphenol,Information Technology,85019615232,16000444845056
ADI,Analog Devices,Information Technology,102451331072,16000444845056
ANSS,Ansys,Information Technology,29066631168,16000444845056
AON,Aon,Financials,82027536384,6525760947712
APA,APA Corporation,Energy,8279413760,1769359155200
AAPL,Apple Inc.,Information Technology,3401054945280,16000444845056
AMAT,Applied Materials,Information Technology,139225350144,16000444845056
APTV,Aptiv,Consumer Discretionary,12440455168,5765699304960
ACGL,Arch Capital Group,Financials,38312722432,6525760947712
ADM,Archer Daniels Midland,Consumer Staples,25508876288,3196058264064
ANET,Arista Networks,Information Technology,117910388736,16000444845056
AJG,Arthur J. Gallagher & Co.,Financials,64644399104,6525760947712
AIZ,Assurant,Financials,11222709248,6525760947712
T,AT&T,Communication Services,162735570944,7273105960448
ATO,Atmos Energy,Utilities,22491707392,1220185587712
ADSK,Autodesk,Information Technology,64469512192,16000444845056
ADP,Automatic Data Processing,Industrials,121275506688,4411342612480
AZO,AutoZone,Consumer Discretionary,52530618368,5765699304960
AVB,AvalonBay Communities,Real Estate,32630589440,1144868519936
AVY,Avery Dennison,Materials,15886893056,1044963960832
AXON,Axon Enterprise,Industrials,45703311360,4411342612480
BKR,Baker Hughes,Energy,42490245120,1769359155200
BALL,Ball Corporation,Materials,18180110336,1044963960832
BAC,Bank of America,Financials,358707134464,6525760947712
BAX,Baxter International,Health Care,16318392320,5387425674752
BDX,Becton Dickinson,Health Care,65077800960,5387425674752
BBY,Best Buy,Consumer Discretionary,19896418304,5765699304960
TECH,Bio-Techne,Health Care,10736332800,5387425674752
BIIB,Biogen,Health Care,23313584128,5387425674752
BLK,BlackRock,Financials,155144814592,6525760947712
BX,Blackstone Inc.,Financials,220028567552,6525760947712
BK,BNY Mellon,Financials,56922939392,6525760947712
BA,Boeing,Industrials,104802680832,4411342612480
BKNG,Booking Holdings,Consumer Discretionary,164662362112,5765699304960
BWA,BorgWarner,Consumer Discretionary,7545149952,5765699304960
BSX,Boston Scientific,Health Care,128208470016,5387425674752
BMY,Bristol Myers Squibb,Health Care,114024284160,5387425674752
AVGO,Broadcom,Information Technology,769898446848,16000444845056
BR,Broadridge Financial Solutions,Industrials,26624976896,4411342612480
BRO,Brown & Brown,Financials,31469680640,6525760947712
BLDR,Builders FirstSource,Industrials,20287182848,4411342612480
BG,Bunge Global,Consumer Staples,12650206208,3196058264064
BXP,"BXP, Inc.",Real Estate,13850649600,1144868519936
CHRW,C.H. Robinson,Industrials,13025009664,4411342612480
CDNS,Cadence Design Systems,Information Technology,79456731136,16000444845056
CZR,Caesars Entertainment,Consumer Discretionary,7870259200,5765699304960
CPT,Camden Property Trust,Real Estate,12777183232,1144868519936
CPB,Campbell Soup Company,Consumer Staples,12842130432,3196058264064
COF,Capital One,Financials,70632767488,6525760947712
CAH,Cardinal Health,Health Care,28745947136,5387425674752
