Ticker,Company,Industry,MarketCap
MMM,3M,Industrials,70678306816
AOS,A. O. Smith,Industrials,10472989696
ABT,Abbott Laboratories,Health Care,201023913984
ABBV,AbbVie,Health Care,291560423424
ACN,Accenture,Information Technology,220930342912
ADBE,Adobe Inc.,Information Technology,221583474688
AMD,Advanced Micro Devices,Information Technology,218917060608
AES,AES Corporation,Utilities,9933047808
AFL,Aflac,Financials,61841375232
A,Agilent Technologies,Health Care,36510769152
APD,Air Products,Materials,70495772672
ABNB,Airbnb,Consumer Discretionary,82782281728
AKAM,Akamai Technologies,Information Technology,13134347264
ALB,Albemarle Corporation,Materials,12168915968
ARE,Alexandria Real Estate Equities,Real Estate,18451372032
ALGN,Align Technology,Health Care,16699153408
ALLE,Allegion,Industrials,12149237760
LNT,Alliant Energy,Utilities,15647407104
ALL,Allstate,Financials,52134416384
GOOGL,Alphabet Inc. (Class A),Communication Services,2119194902528
GOOG,Alphabet Inc. (Class C),Communication Services,2119197392896
MO,Altria,Consumer Staples,94790721536
AMZN,Amazon,Consumer Discretionary,2130444156928
AMCR,Amcor,Materials,14771375104
AMTM,Amentum,Industrials,6131210752
AEE,Ameren,Utilities,24349171712
AEP,American Electric Power,Utilities,51291332608
AXP,American Express,Financials,202084139008
AIG,American International Group,Financials,47262978048
AMT,American Tower,Real Estate,91798921216
AWK,American Water Works,Utilities,26160621568
AMP,Ameriprise Financial,Financials,54564892672
AME,Ametek,Industrials,44665577472
AMGN,Amgen,Health Care,152449728512
APH,Amphenol,Information Technology,85019615232
ADI,Analog Devices,Information Technology,102451331072
ANSS,Ansys,Information Technology,29066631168
AON,Aon,Financials,82027536384
APA,APA Corporation,Energy,8279413760
AAPL,Apple Inc.,Information Technology,3401054945280
AMAT,Applied Materials,Information Technology,139225350144
APTV,Aptiv,Consumer Discretionary,12440455168
ACGL,Arch Capital Group,Financials,38312722432
ADM,Archer Daniels Midland,Consumer Staples,25508876288
ANET,Arista Networks,Information Technology,117910388736
AJG,Arthur J. Gallagher & Co.,Financials,64644399104
AIZ,Assurant,Financials,11222709248
T,AT&T,Communication Services,162735570944
ATO,Atmos Energy,Utilities,22491707392
ADSK,Autodesk,Information Technology,64469512192
ADP,Automatic Data Processing,Industrials,121275506688
AZO,AutoZone,Consumer Discretionary,52530618368
AVB,AvalonBay Communities,Real Estate,32630589440
AVY,Avery Dennison,Materials,15886893056
AXON,Axon Enterprise,Industrials,45703311360
BKR,Baker Hughes,Energy,42490245120
BALL,Ball Corporation,Materials,18180110336
BAC,Bank of America,Financials,358707134464
BAX,Baxter International,Health Care,16318392320
BDX,Becton Dickinson,Health Care,65077800960
BBY,Best Buy,Consumer Discretionary,19896418304
TECH,Bio-Techne,Health Care,10736332800
BIIB,Biogen,Health Care,23313584128
BLK,BlackRock,Financials,155144814592
BX,Blackstone Inc.,Financials,220028567552
BK,BNY Mellon,Financials,56922939392
BA,Boeing,Industrials,104802680832
BKNG,Booking Holdings,Consumer Discretionary,164662362112
BWA,BorgWarner,Consumer Discretionary,7545149952
BSX,Boston Scientific,Health Care,128208470016
BMY,Bristol Myers Squibb,Health Care,114024284160
AVGO,Broadcom,Information Technology,769898446848
BR,Broadridge Financial Solutions,Industrials,26624976896
BRO,Brown & Brown,Financials,31469680640
BLDR,Builders FirstSource,Industrials,20287182848
BG,Bunge Global,Consumer Staples,12650206208
BXP,"BXP, Inc.",Real Estate,13850649600
CHRW,C.H. Robinson,Industrials,13025009664
CDNS,Cadence Design Systems,Information Technology,79456731136
CZR,Caesars Entertainment,Consumer Discretionary,7870259200
CPT,Camden Property Trust,Real Estate,12777183232
CPB,Campbell Soup Company,Consumer Staples,12842130432
COF,Capital One,Financials,70632767488
CAH,Cardinal Health,Health Care,28745947136
KMX,CarMax,Consumer Discretionary,12088719360
CCL,Carnival,Consumer Discretionary,32620371968
CARR,Carrier Global,Industrials,66870329344
CTLT,Catalent,Health Care,10727358464
CAT,Caterpillar Inc.,Industrials,185429753856
CBOE,Cboe Global Markets,Financials,21011527680
CBRE,CBRE Group,Real Estate,39852720128
CDW,CDW,Information Technology,23671685120
CE,Celanese,Materials,8065039360
COR,Cencora,Health Care,47088963584
CNC,Centene Corporation,Health Care,29009541120
CNP,CenterPoint Energy,Utilities,20112293888
CF,CF Industries,Materials,15151921152
CRL,Charles River Laboratories,Health Care,9600310272
SCHW,Charles Schwab Corporation,Financials,147616350208
CHTR,Charter Communications,Communication Services,55389908992
CVX,Chevron Corporation,Energy,287798919168
CMG,Chipotle Mexican Grill,Consumer Discretionary,79888654336
CB,Chubb Limited,Financials,116092223488
CHD,Church & Dwight,Consumer Staples,26709680128
CI,Cigna,Health Care,89431744512
CINF,Cincinnati Financial,Financials,23725492224
CTAS,Cintas,Industrials,86789947392
CSCO,Cisco,Information Technology,229036703744
C,Citigroup,Financials,130043043840
CFG,Citizens Financial Group,Financials,20615991296
CLX,Clorox,Consumer Staples,20750647296
CME,CME Group,Financials,81182351360
CMS,CMS Energy,Utilities,20386101248
KO,Coca-Cola Company (The),Consumer Staples,265963585536
CTSH,Cognizant,Information Technology,38232989696
CL,Colgate-Palmolive,Consumer Staples,76439552000
CMCSA,Comcast,Communication Services,164082040832
CAG,Conagra Brands,Consumer Staples,12743189504
COP,ConocoPhillips,Energy,129270202368
ED,Consolidated Edison,Utilities,33407973376
STZ,Constellation Brands,Consumer Staples,43128729600
CEG,Constellation Energy,Utilities,70147383296
COO,Cooper Companies (The),Health Care,19841910784
CPRT,Copart,Industrials,54594457600
GLW,Corning Inc.,Information Technology,39805157376
CPAY,Corpay,Financials,25330188288
CTVA,Corteva,Materials,37945446400
CSGP,CoStar Group,Real Estate,29209649152
COST,Costco,Consumer Staples,401899126784
CTRA,Coterra,Energy,18842560512
CRWD,CrowdStrike,Information Technology,82546180096
CCI,Crown Castle,Real Estate,45111275520
CSX,CSX Corporation,Industrials,67745394688
CMI,Cummins,Industrials,49639309312
CVS,CVS Health,Health Care,66934824960
DHR,Danaher Corporation,Health Care,166484393984
DRI,Darden Restaurants,Consumer Discretionary,19596650496
DVA,DaVita,Health Care,13150908416
DAY,Dayforce,Industrials,11758111744
DECK,Deckers Brands,Consumer Discretionary,26686619648
DE,Deere & Company,Industrials,109152722944
DELL,Dell Technologies,Information Technology,92410757120
DAL,Delta Air Lines,Industrials,41343156224
DVN,Devon Energy,Energy,25270941696
DXCM,Dexcom,Health Care,29638348800
FANG,Diamondback Energy,Energy,51565256704
DLR,Digital Realty,Real Estate,60748042240
DFS,Discover Financial,Financials,44206247936
DG,Dollar General,Consumer Staples,16687150080
DLTR,Dollar Tree,Consumer Staples,13802485760
D,Dominion Energy,Utilities,48409776128
DPZ,Domino's,Consumer Discretionary,14863608832
DOV,Dover Corporation,Industrials,27600285696
DOW,Dow Inc.,Materials,30832054272
DHI,D. R. Horton,Consumer Discretionary,52366004224
DTE,DTE Energy,Utilities,24870756352
DUK,Duke Energy,Utilities,86649298944
DD,DuPont,Materials,34209615872
EMN,Eastman Chemical Company,Materials,11777920000
ETN,Eaton Corporation,Industrials,141872840704
EBAY,eBay,Consumer Discretionary,29424969728
ECL,Ecolab,Materials,69442650112
EIX,Edison International,Utilities,32396713984
EW,Edwards Lifesciences,Health Care,39964848128
EA,Electronic Arts,Communication Services,42320371712
ELV,Elevance Health,Health Care,92929228800
EMR,Emerson Electric,Industrials,72289951744
ENPH,Enphase Energy,Information Technology,8041569280
ETR,Entergy,Utilities,31972519936
EOG,EOG Resources,Energy,75683266560
EPAM,EPAM Systems,Information Technology,13345977344
EQT,EQT Corporation,Energy,25484374016
EFX,Equifax,Industrials,30773563392
EQIX,Equinix,Real Estate,86585614336
EQR,Equity Residential,Real Estate,28780531712
ERIE,Erie Indemnity,Financials,21177409536
ESS,Essex Property Trust,Real Estate,20097185792
EL,Estée Lauder Companies (The),Consumer Staples,22884845568
EG,Everest Group,Financials,15959242752
EVRG,Evergy,Utilities,14663269376
ES,Eversource Energy,Utilities,22661961728
EXC,Exelon,Utilities,39298904064
EXPE,Expedia Group,Consumer Discretionary,23275548672
EXPD,Expeditors International,Industrials,16819516416
EXR,Extra Space Storage,Real Estate,36295516160
XOM,ExxonMobil,Energy,524378177536
FFIV,"F5, Inc.",Information Technology,13847285760
FDS,FactSet,Financials,18382780416
FICO,Fair Isaac,Information Technology,55050600448
FAST,Fastenal,Industrials,46890721280
FRT,Federal Realty Investment Trust,Real Estate,9718183936
FDX,FedEx,Industrials,71943348224
FIS,Fidelity National Information Services,Financials,47278247936
FITB,Fifth Third Bancorp,Financials,31508815872
FSLR,First Solar,Information Technology,20389195776
FE,FirstEnergy,Utilities,23922917376
FI,Fiserv,Financials,119996391424
FMC,FMC Corporation,Materials,6789830144
F,Ford Motor Company,Consumer Discretionary,43756933120
FTNT,Fortinet,Information Technology,72199872512
FTV,Fortive,Industrials,25958723584
FOXA,Fox Corporation (Class A),Communication Services,20192870400
FOX,Fox Corporation (Class B),Communication Services,20192882688
BEN,Franklin Resources,Financials,11347886080
FCX,Freeport-McMoRan,Materials,61356912640
GRMN,Garmin,Consumer Discretionary,40023769088
IT,Gartner,Information Technology,40330440704
GE,GE Aerospace,Industrials,191489572864
GEHC,GE HealthCare,Health Care,37353934848
GEV,GE Vernova,Industrials,90899333120
GEN,Gen Digital,Information Technology,18227343360
GNRC,Generac,Industrials,10817799168
GD,General Dynamics,Industrials,79188320256
GIS,General Mills,Consumer Staples,35091599360
GM,General Motors,Consumer Discretionary,62721183744
GPC,Genuine Parts Company,Consumer Discretionary,17048594432
GILD,Gilead Sciences,Health Care,110170267648
GPN,Global Payments,Financials,29521420288
GL,Globe Life,Financials,9166804992
